"Super 35
Fujinon,Cabrio,14-35mm,2.9,2',5.5 lbs*,"9""",114mm,PL,34mm,,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,36mm,2013,19-90mm Cabrio,Not currently in inventory / Macro function in rear / Servo handle,
,,19-90mm,2.9,"2' 10""",6 lbs*,"8.8""",114mm,PL,34.5mm,,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,36mm,2012,19-90mm Cabrio,Macro function in rear / Servo handle,
,,20-120mm,3.5,"3' 8""",5.3 lbs*,"9.4""",114mm,PL,31.5mm,,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,36mm,2016,19-90mm Cabrio,Macro function in rear / Servo handle,
,,25-300mm,3.5 (4 at 300mm),4',19 lbs*,"15.75""",136mm,PL,32mm,,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,N/A,2014,Standard,Macro function in rear / Servo handle,
,,85-300mm,2.9 (4 at 260mm-300mm),4',5.8 lbs,"9.8""",114mm,PL,38mm,,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,36mm,2013,85-300mm Cabrio,Macro function in rear / Servo handle,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Fujinon,Premier,14.5-45mm,2,"2' 4""",14.4 lbs,"12.2""",136mm,PL,30mm,,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2010,Standard,,
,,18-85mm,2,"2' 9""",16.2 lbs,"13.85""",136mm,PL,28mm,,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",Duclos 1.7X,No,N/A,2009,Standard,,
,,24-180mm,2.6,"4' 1""",20.6 lbs,"16""",136mm,PL,29mm,,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2010,Standard,,
,,75-400mm,2.8 (3.8 at CF),"6' 9""",22 lbs,"17.5""",136mm,PL,33mm,,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2009,Standard,,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Optar,Lightweight Zoom,25-80mm,3.4,"3' 3""",3.2 lbs,"6.5""",87mm,PL,28mm,35mm OK,10,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X, Century 2X",,No,30mm,,Standard,Vintage,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Optika Elite,Zoom,17-35mm,2.8,"12""",3.3 lbs,"4.75""",110mm,PL,,,,,,No,,,,Vintage / Not currently in inventory,
,,24-82mm,2.8,"3' 4""",3.3 lbs,"8""",90mm,PL,,,,,,No,,,,Vintage / Not currently in inventory,
,,120-520mm,3,"13' 2""",35.3 lbs,"29""",182mm,PL,,,,,,No,,,,Vintage / Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Sigma,Cine,18-35mm,2,"11""",3 lbs,"4.7""",95mm,PL,33mm,,9,"IBE 1.4X, IBE 2X",,No,"30mm (1/4""-20 thread)",,N/A (No bracket),Front filter diameter: 82mm,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Sigma,Super Speed Zoom,18-35mm,1.8,"1' 1""",3 lbs,"4.7""",95mm,PL,33mm,,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X, Century 2X",,No,N/A,,N/A (No bracket),GL Optics,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
